train size,value_min,value_mean,value_max,value_var
42,0.3939,0.4614,0.5177,0.003
67,0.5661,0.5905,0.6253,0.0005
92,0.4678,0.5543,0.6093,0.0032
117,0.5259,0.5774,0.6453,0.0023
142,0.4923,0.5868,0.67,0.0041
167,0.5924,0.6465,0.6774,0.0013
192,0.6186,0.6648,0.7091,0.0012
217,0.6429,0.6805,0.7248,0.0015
242,0.5808,0.6629,0.7129,0.0024
267,0.6619,0.6966,0.7412,0.0014
292,0.7159,0.764,0.7989,0.001
317,0.6811,0.7464,0.8069,0.0028
342,0.6717,0.7608,0.8063,0.0028
367,0.7015,0.7803,0.8314,0.0029
392,0.6615,0.7852,0.8338,0.005
417,0.7201,0.7688,0.8315,0.002
442,0.7017,0.7914,0.8898,0.0051
467,0.7879,0.8233,0.8526,0.0008
492,0.8036,0.8336,0.8639,0.0006
517,0.7709,0.8269,0.871,0.0015
542,0.7817,0.8379,0.89,0.0015
